id;numero;setmana;causa;data_revisio;comentaris
1;86425;2019-10-29;Unbranded;2019-10-29T12:20:48;Developer interfaces
2;77513;2019-10-28;Awesome Concrete Chips Toys Algeria;2019-10-29T14:21:24;bypassing Computer
3;78619;2019-10-29;application;2019-10-29T18:04:37;Baht
4;420;2019-10-29;indexing Bedfordshire Cotton;2019-10-29T14:54:29;Fantastic Steel Pizza
5;64279;2019-10-29;SMS Cotton redundant;2019-10-29T01:51:41;Bedfordshire
6;92366;2019-10-29;Incredible Operations;2019-10-29T04:35:49;Illinois Internal
7;56970;2019-10-29;matrix Corporate Universal;2019-10-28T22:34:36;Baby Auto Loan Account Circles
8;55263;2019-10-29;contingency neural;2019-10-29T09:07:28;program value-added
9;29860;2019-10-28;maximize teal cross-platform;2019-10-29T10:33:10;Shoes Denar Frozen
10;2195;2019-10-29;ubiquitous impactful;2019-10-29T16:00:28;networks Missouri magnetic
