id;nom;descripcio;setmana;temps_previst;temps_real;estat;interval_control;facturacio_automatica;observacions;comentaris_treballador
1;Representative Practical Rubber Keyboard Suriname;intangible AGP;2019-10-29;67595;13091;true;1462;true;Garden superstructure;Bypass Money Market Account bluetooth
2;black distributed transform;communities Research;2019-10-29;31521;87162;true;43092;true;scalable;Shores
3;asymmetric hack;Well;2019-10-29;2923;13257;true;33003;true;Solomon Islands;Spain
4;array;Strategist Specialist Advanced;2019-10-29;44290;45029;true;36789;true;generate Sports;Cross-platform Administrator Credit Card Account
5;Facilitator payment Stravenue;Applications;2019-10-29;67783;25505;false;48283;false;Auto Loan Account;implement program generating
6;migration SAS;Officer Berkshire model;2019-10-29;6813;48204;true;57945;true;Fresh Planner;Data IB Auto Loan Account
7;Berkshire Functionality;Branding Fantastic Frozen Cheese Identity;2019-10-28;35841;98912;true;76177;true;channels;Gorgeous Steel Hat Keyboard
8;copying Metal invoice;bluetooth;2019-10-29;27694;44570;false;67077;false;deposit Associate Industrial;scalable
9;Steel wireless SCSI;payment;2019-10-29;33449;1258;false;79613;true;Lead multi-state Oregon;Sri Lanka Rupee toolset mobile
10;technologies mint green Zimbabwe Dollar;Optimization info-mediaries Implemented;2019-10-29;57409;94507;true;89739;true;Checking Account;Baby Gorgeous
