id;hora_entrada;hora_sortida;desviacio
1;2019-11-28T12:08:29;2019-11-28T15:04:31;false
2;2019-11-28T04:22:06;2019-11-28T14:20:31;false
3;2019-11-27T19:50:37;2019-11-28T08:59:10;true
4;2019-11-28T05:50:28;2019-11-28T00:55:04;false
5;2019-11-27T22:16:35;2019-11-28T01:38:41;false
6;2019-11-28T05:42:23;2019-11-28T15:07:48;true
7;2019-11-28T04:19:33;2019-11-27T23:31:57;true
8;2019-11-28T03:49:50;2019-11-27T23:19:33;true
9;2019-11-28T06:51:23;2019-11-28T03:40:10;false
10;2019-11-28T08:07:33;2019-11-28T10:24:20;false
