id;nom;setmana_inicial;setmana_final;hora_inici;hora_final;temps_previst;interval_control;dia_setmana;facturacio_automatica;observacions
1;Rubber;2019-10-29;2019-10-28;2019-10-29T08:25:06;2019-10-29T14:06:23;2019-10-29T00:27:51;38857;DISSABTE;false;Virtual Applications
2;withdrawal Gloves portals;2019-10-29;2019-10-29;2019-10-29T03:11:07;2019-10-29T05:35:30;2019-10-29T04:25:08;44033;DIVENDRES;false;sensor withdrawal
3;Trinidad and Tobago Dollar 1080p Belize;2019-10-29;2019-10-29;2019-10-29T06:59:56;2019-10-29T11:09:41;2019-10-29T11:26:15;81518;DIJOUS;false;Generic Product
4;Outdoors Beauty;2019-10-29;2019-10-28;2019-10-28T19:45:11;2019-10-29T06:17:47;2019-10-29T06:26:54;89593;DISSABTE;true;Sleek haptic
5;New Zealand Dollar;2019-10-29;2019-10-28;2019-10-29T08:39:21;2019-10-28T20:23:34;2019-10-28T19:45:04;60792;DIVENDRES;true;bluetooth Kyat New Israeli Sheqel
6;sensor Optimization transmitting;2019-10-29;2019-10-29;2019-10-29T06:38:45;2019-10-28T19:37:13;2019-10-28T22:28:29;40738;DIMARTS;true;Hat backing up Berkshire
7;Bike;2019-10-28;2019-10-29;2019-10-28T20:21:32;2019-10-28T19:20:04;2019-10-28T19:40:19;90246;DILLUNS;false;Handcrafted Concrete Bacon drive
8;XML;2019-10-29;2019-10-28;2019-10-29T18:21:18;2019-10-29T02:00:06;2019-10-29T10:42:28;58565;DIMARTS;false;Georgia
9;SQL online;2019-10-28;2019-10-28;2019-10-29T11:18:41;2019-10-29T10:49:05;2019-10-29T12:20:44;27457;DILLUNS;false;leverage Corners
10;pink;2019-10-29;2019-10-29;2019-10-29T01:27:13;2019-10-29T14:40:25;2019-10-29T14:15:32;64281;DIMECRES;false;matrix Baby Small
